Reference,Study ID (Platform),N participants,N headlines (Total),Full Reference
Arechar et al. (2023),1 (Lucid),352,20 (45),Arechar et al. (2023). Understanding and combatting misinformation across 16 countries on six continents. Nat. Hum. Behav.
Bago et al. (2020),2 (MTurk),134,10,"Bago, B., Rand, D. G., & Pennycook, G. (2020). Fake news, fast and slow: Deliberation reduces belief in false (but not true) news headlines. J. Exp. Psychol. Gen."
Bago et al. (2020),3 (MTurk),355,16 (24),"Bago, B., Rand, D. G., & Pennycook, G. (2020). Fake news, fast and slow: Deliberation reduces belief in false (but not true) news headlines. J. Exp. Psychol. Gen."
Brashier et al. (2021),4 (MTurk),284,36,"Brashier, N. M., Pennycook, G., Berinsky, A. J., & Rand, D. G. (2021). Timing matters when correcting fake news. PNAS."
Brashier et al. (2021),5 (MTurk),279,36,"Brashier, N. M., Pennycook, G., Berinsky, A. J., & Rand, D. G. (2021). Timing matters when correcting fake news. PNAS."
Bronstein et al. (2019),6 (MTurk),629,24,"Bronstein, M. V., Pennycook, G., Bear, A., Rand, D. G., & Cannon, T. D. (2019). Belief in fake news is associated with delusionality, dogmatism, religious fundamentalism, and reduced analytic thinking. J. Appl. Res. Mem. Cogn."
Bronstein et al. (2021),7 (Lab),126,24,"Bronstein, M. V., Pennycook, G., Buonomano, L., & Cannon, T. D. (2021). Belief in fake news, responsiveness to cognitive conflict, and analytic reasoning engagement. Think. Reason."
Calvillo & Smelter (2020),8 (MTurk),75,16 (32),"Calvillo, D. P., & Smelter, T. J. (2020). An initial accuracy focus reduces the effect of prior exposure on perceived accuracy of news headlines. Cogn. Res. Princ. Implic."
Calvillo & Smelter (2020),9 (MTurk),159,16 (32),"Calvillo, D. P., & Smelter, T. J. (2020). An initial accuracy focus reduces the effect of prior exposure on perceived accuracy of news headlines. Cogn. Res. Princ. Implic."
Calvillo et al. (2020),10 (MTurk),409,16,"Calvillo, D. P., Ross, B. J., Garcia, R. J. B., Smelter, T. J., & Rutchick, A. M. (2020). Political ideology predicts perceptions of the threat of COVID-19 (and susceptibility to fake news about it). Soc. Psychol. Pers. Sci."
Calvillo et al. (2020),11 (MTurk),354,16,"Calvillo, D. P., Ross, B. J., Garcia, R. J. B., Smelter, T. J., & Rutchick, A. M. (2020). Political ideology predicts perceptions of the threat of COVID-19 (and susceptibility to fake news about it). Soc. Psychol. Pers. Sci."
Calvillo et al. (2021),12 (MTurk),266,24,"Calvillo, D. P., Garcia, R. J. B., Bertrand, K., & Mayers, T. A. (2021). Personality factors and self-reported political news consumption predict susceptibility to political fake news. Pers. Individ. Dif."
Calvillo et al. (2021),13 (MTurk),291,15,"Calvillo, D. P., Rutchick, A. M., & Garcia, R. J. B. (2021). Individual differences in belief in fake news about election fraud after the 2020 U.S. election. Behav. Sci."
Carnahan et al. (2021),14 (RN/SSI),247,6,"Carnahan, D., Bergan, D. E., & Lee, S. (2021). Do corrective effects last? Results from a longitudinal experiment on beliefs toward immigration in the U.S. Polit. Behav."
Epstein et al. (2023),15 (Lucid),156,25,"Epstein, Z., Sirlin, N., Arechar, A., Pennycook, G., & Rand, D. (2023). The social media context interferes with truth discernment. Sci. Adv."
Epstein et al. (2023),16 (Lucid),451,24 (60),"Epstein, Z., Sirlin, N., Arechar, A., Pennycook, G., & Rand, D. (2023). The social media context interferes with truth discernment. Sci. Adv."
Garrett & Bond (2021),17 (YouGov),852,20,"Garrett, R. K., & Bond, R. M. (2021). Conservatives’ susceptibility to political misperceptions. Sci. Adv."
Longoni et al. (2022),18 (Lucid),1047,42,"Longoni, C., Fradkin, A., Cian, L., & Pennycook, G. (2022). News from generative artificial intelligence is believed less. 2022 ACM Conf. Fairness, Accountability, and Transparency."
Martel et al. (2020),19 (MTurk),409,20 (32),"Martel, C., Pennycook, G., & Rand, D. G. (2020). Reliance on emotion promotes belief in fake news. Cogn. Res. Princ. Implic."
Martel et al. (2020),20 (MTurk),244,12,"Martel, C., Pennycook, G., & Rand, D. G. (2020). Reliance on emotion promotes belief in fake news. Cogn. Res. Princ. Implic."
Martel et al. (2020),21 (MTurk),234,10 (20),"Martel, C., Pennycook, G., & Rand, D. G. (2020). Reliance on emotion promotes belief in fake news. Cogn. Res. Princ. Implic."
Martel et al. (2020),22 (Lucid),269,12,"Martel, C., Pennycook, G., & Rand, D. G. (2020). Reliance on emotion promotes belief in fake news. Cogn. Res. Princ. Implic."
Newton et al. (2023),23 (YouGov),729,10 (20),"Newton, C., Feeney, J., & Pennycook, G. (2023). On the disposition to think analytically: Four distinct intuitive-analytic thinking styles. Pers. Soc. Psychol. Bull."
Pennycook et al. (2020),24 (Lucid),414,30,"Pennycook, G., McPhetres, J., Zhang, Y., Lu, J. G., & Rand, D. G. (2020). Fighting COVID-19 misinformation on social media: Experimental evidence for a scalable accuracy-nudge intervention. Psychol. Sci."
Pennycook et al. (2021),25 (MTurk),497,36,"Pennycook, G., Epstein, Z., Mosleh, M., Arechar, A. A., Eckles, D., & Rand, D. G. (2021). Shifting attention to accuracy can reduce misinformation online. Nature."
Roozenbeek et al. (2022),26 (Prolific),650,20,"Roozenbeek, J., Maertens, R., Herzog, S. M., Geers, M., Kurvers, R., Sultan, M., & van der Linden, S. (2022). Susceptibility to misinformation is consistent across question framings and response modes and better explained by myside bias and partisanship than analytical thinking. Judgm. Decis. Mak."
Ross et al. (2021),27 (MTurk),505,20,"Ross, R. M., Rand, D. G., & Pennycook, G. (2021). Beyond 'fake news': Analytic thinking and the detection of false and hyperpartisan news headlines. Judgm. Decis. Mak."
Ross et al. (2021),28 (Lucid),490,20,"Ross, R. M., Rand, D. G., & Pennycook, G. (2021). Beyond 'fake news': Analytic thinking and the detection of false and hyperpartisan news headlines. Judgm. Decis. Mak."
Smelter & Calvillo (2020),29 (Lab),209,28,"Smelter, T. J., & Calvillo, D. P. (2020). Pictures and repeated exposure increase perceived accuracy of news headlines. Appl. Cogn. Psychol."
Smelter & Calvillo (2020),30 (MTurk),64,20,"Smelter, T. J., & Calvillo, D. P. (2020). Pictures and repeated exposure increase perceived accuracy of news headlines. Appl. Cogn. Psychol."
Sultan et al. (2022),31 (Prolific),381,32 (64),"Sultan, M., Tump, A. N., Geers, M., Lorenz-Spreen, P., Herzog, S. M., & Kurvers, R. H. J. M. (2022). Time pressure reduces misinformation discrimination ability but does not alter response bias. Sci. Rep."
